arquivo,rotulos_aceitos,observacao
n01440764_60.JPEG,tench,Imagenette val/n01440764/n01440764_11750.JPEG
n01440764_61.JPEG,tench,Imagenette val/n01440764/n01440764_11762.JPEG
n01440764_62.JPEG,tench,Imagenette val/n01440764/n01440764_11830.JPEG
n01440764_63.JPEG,tench,Imagenette val/n01440764/n01440764_11841.JPEG
n01440764_64.JPEG,tench,Imagenette val/n01440764/n01440764_11881.JPEG
n01440764_65.JPEG,tench,Imagenette val/n01440764/n01440764_11930.JPEG
n01440764_66.JPEG,tench,Imagenette val/n01440764/n01440764_11972.JPEG
n01440764_67.JPEG,tench,Imagenette val/n01440764/n01440764_12021.JPEG
n01440764_68.JPEG,tench,Imagenette val/n01440764/n01440764_12040.JPEG
n01440764_69.JPEG,tench,Imagenette val/n01440764/n01440764_12090.JPEG
n01440764_70.JPEG,tench,Imagenette val/n01440764/n01440764_12100.JPEG
n01440764_71.JPEG,tench,Imagenette val/n01440764/n01440764_12111.JPEG
n01440764_72.JPEG,tench,Imagenette val/n01440764/n01440764_12131.JPEG
n01440764_73.JPEG,tench,Imagenette val/n01440764/n01440764_12151.JPEG
n01440764_74.JPEG,tench,Imagenette val/n01440764/n01440764_12182.JPEG
n01440764_75.JPEG,tench,Imagenette val/n01440764/n01440764_12211.JPEG
n01440764_76.JPEG,tench,Imagenette val/n01440764/n01440764_12241.JPEG
n01440764_77.JPEG,tench,Imagenette val/n01440764/n01440764_12250.JPEG
n01440764_78.JPEG,tench,Imagenette val/n01440764/n01440764_12291.JPEG
n01440764_79.JPEG,tench,Imagenette val/n01440764/n01440764_1232.JPEG
n01440764_80.JPEG,tench,Imagenette val/n01440764/n01440764_12362.JPEG
n01440764_81.JPEG,tench,Imagenette val/n01440764/n01440764_12502.JPEG
n01440764_82.JPEG,tench,Imagenette val/n01440764/n01440764_12571.JPEG
n01440764_83.JPEG,tench,Imagenette val/n01440764/n01440764_12572.JPEG
n01440764_84.JPEG,tench,Imagenette val/n01440764/n01440764_12620.JPEG
n01440764_85.JPEG,tench,Imagenette val/n01440764/n01440764_12632.JPEG
n01440764_86.JPEG,tench,Imagenette val/n01440764/n01440764_12702.JPEG
n01440764_87.JPEG,tench,Imagenette val/n01440764/n01440764_1272.JPEG
n01440764_88.JPEG,tench,Imagenette val/n01440764/n01440764_12732.JPEG
n01440764_89.JPEG,tench,Imagenette val/n01440764/n01440764_12881.JPEG
n01440764_90.JPEG,tench,Imagenette val/n01440764/n01440764_12950.JPEG
n01440764_91.JPEG,tench,Imagenette val/n01440764/n01440764_12971.JPEG
n01440764_92.JPEG,tench,Imagenette val/n01440764/n01440764_12972.JPEG
n01440764_93.JPEG,tench,Imagenette val/n01440764/n01440764_1302.JPEG
n01440764_94.JPEG,tench,Imagenette val/n01440764/n01440764_13051.JPEG
n01440764_95.JPEG,tench,Imagenette val/n01440764/n01440764_1310.JPEG
n01440764_96.JPEG,tench,Imagenette val/n01440764/n01440764_13122.JPEG
n01440764_97.JPEG,tench,Imagenette val/n01440764/n01440764_13161.JPEG
n01440764_98.JPEG,tench,Imagenette val/n01440764/n01440764_13251.JPEG
n01440764_99.JPEG,tench,Imagenette val/n01440764/n01440764_13360.JPEG
n01440764_100.JPEG,tench,Imagenette val/n01440764/n01440764_13452.JPEG
n02102040_01.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00004650.JPEG
n02102040_02.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00007032.JPEG
n02102040_03.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00008162.JPEG
n02102040_04.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00014280.JPEG
n02102040_05.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00016582.JPEG
n02102040_06.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00017370.JPEG
n02102040_07.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00022412.JPEG
n02102040_08.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00023242.JPEG
n02102040_09.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00023440.JPEG
n02102040_10.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00025442.JPEG
n02102040_11.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00026521.JPEG
n02102040_12.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00027182.JPEG
n02102040_13.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00036282.JPEG
n02102040_14.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00037182.JPEG
n02102040_15.JPEG,English_springer,Imagenette val/n02102040/ILSVRC2012_val_00040140.JPEG
n02102040_16.JPEG,English_springer,Imagenette val/n02102040/n02102040_1011.JPEG
n02102040_17.JPEG,English_springer,Imagenette val/n02102040/n02102040_1022.JPEG
n02102040_18.JPEG,English_springer,Imagenette val/n02102040/n02102040_1030.JPEG
n02102040_19.JPEG,English_springer,Imagenette val/n02102040/n02102040_1081.JPEG
n02102040_20.JPEG,English_springer,Imagenette val/n02102040/n02102040_1082.JPEG
n02102040_21.JPEG,English_springer,Imagenette val/n02102040/n02102040_1091.JPEG
n02102040_22.JPEG,English_springer,Imagenette val/n02102040/n02102040_1092.JPEG
n02102040_23.JPEG,English_springer,Imagenette val/n02102040/n02102040_1100.JPEG
n02102040_24.JPEG,English_springer,Imagenette val/n02102040/n02102040_1102.JPEG
n02102040_25.JPEG,English_springer,Imagenette val/n02102040/n02102040_1110.JPEG
n02102040_26.JPEG,English_springer,Imagenette val/n02102040/n02102040_1112.JPEG
n02102040_27.JPEG,English_springer,Imagenette val/n02102040/n02102040_1121.JPEG
n02102040_28.JPEG,English_springer,Imagenette val/n02102040/n02102040_1122.JPEG
n02102040_29.JPEG,English_springer,Imagenette val/n02102040/n02102040_1130.JPEG
n02102040_30.JPEG,English_springer,Imagenette val/n02102040/n02102040_1151.JPEG
n02102040_31.JPEG,English_springer,Imagenette val/n02102040/n02102040_1160.JPEG
n02102040_32.JPEG,English_springer,Imagenette val/n02102040/n02102040_1172.JPEG
n02102040_33.JPEG,English_springer,Imagenette val/n02102040/n02102040_1181.JPEG
n02102040_34.JPEG,English_springer,Imagenette val/n02102040/n02102040_1200.JPEG
n02102040_35.JPEG,English_springer,Imagenette val/n02102040/n02102040_1201.JPEG
n02102040_36.JPEG,English_springer,Imagenette val/n02102040/n02102040_1210.JPEG
n02102040_37.JPEG,English_springer,Imagenette val/n02102040/n02102040_1222.JPEG
n02102040_38.JPEG,English_springer,Imagenette val/n02102040/n02102040_1230.JPEG
n02102040_39.JPEG,English_springer,Imagenette val/n02102040/n02102040_1241.JPEG
n02102040_40.JPEG,English_springer,Imagenette val/n02102040/n02102040_1252.JPEG
n02102040_41.JPEG,English_springer,Imagenette val/n02102040/n02102040_1260.JPEG
n02102040_42.JPEG,English_springer,Imagenette val/n02102040/n02102040_1261.JPEG
n02102040_43.JPEG,English_springer,Imagenette val/n02102040/n02102040_1272.JPEG
n02102040_44.JPEG,English_springer,Imagenette val/n02102040/n02102040_1292.JPEG
n02102040_45.JPEG,English_springer,Imagenette val/n02102040/n02102040_1300.JPEG
n02102040_46.JPEG,English_springer,Imagenette val/n02102040/n02102040_1301.JPEG
n02102040_47.JPEG,English_springer,Imagenette val/n02102040/n02102040_1302.JPEG
n02102040_48.JPEG,English_springer,Imagenette val/n02102040/n02102040_1310.JPEG
n02102040_49.JPEG,English_springer,Imagenette val/n02102040/n02102040_132.JPEG
n02102040_50.JPEG,English_springer,Imagenette val/n02102040/n02102040_142.JPEG
n02102040_51.JPEG,English_springer,Imagenette val/n02102040/n02102040_1430.JPEG
n02102040_52.JPEG,English_springer,Imagenette val/n02102040/n02102040_1442.JPEG
n02102040_53.JPEG,English_springer,Imagenette val/n02102040/n02102040_1450.JPEG
n02102040_54.JPEG,English_springer,Imagenette val/n02102040/n02102040_150.JPEG
n02102040_55.JPEG,English_springer,Imagenette val/n02102040/n02102040_1512.JPEG
n02102040_56.JPEG,English_springer,Imagenette val/n02102040/n02102040_1552.JPEG
n02102040_57.JPEG,English_springer,Imagenette val/n02102040/n02102040_1590.JPEG
n02102040_58.JPEG,English_springer,Imagenette val/n02102040/n02102040_1592.JPEG
n02102040_59.JPEG,English_springer,Imagenette val/n02102040/n02102040_1612.JPEG
n02102040_60.JPEG,English_springer,Imagenette val/n02102040/n02102040_1620.JPEG
n02102040_61.JPEG,English_springer,Imagenette val/n02102040/n02102040_1632.JPEG
n02102040_62.JPEG,English_springer,Imagenette val/n02102040/n02102040_1642.JPEG
n02102040_63.JPEG,English_springer,Imagenette val/n02102040/n02102040_1660.JPEG
n02102040_64.JPEG,English_springer,Imagenette val/n02102040/n02102040_171.JPEG
n02102040_65.JPEG,English_springer,Imagenette val/n02102040/n02102040_1720.JPEG
n02102040_66.JPEG,English_springer,Imagenette val/n02102040/n02102040_1740.JPEG
n02102040_67.JPEG,English_springer,Imagenette val/n02102040/n02102040_1760.JPEG
n02102040_68.JPEG,English_springer,Imagenette val/n02102040/n02102040_1770.JPEG
n02102040_69.JPEG,English_springer,Imagenette val/n02102040/n02102040_1771.JPEG
n02102040_70.JPEG,English_springer,Imagenette val/n02102040/n02102040_1781.JPEG
n02102040_71.JPEG,English_springer,Imagenette val/n02102040/n02102040_1782.JPEG
n02102040_72.JPEG,English_springer,Imagenette val/n02102040/n02102040_1791.JPEG
n02102040_73.JPEG,English_springer,Imagenette val/n02102040/n02102040_182.JPEG
n02102040_74.JPEG,English_springer,Imagenette val/n02102040/n02102040_1822.JPEG
n02102040_75.JPEG,English_springer,Imagenette val/n02102040/n02102040_1830.JPEG
n02102040_76.JPEG,English_springer,Imagenette val/n02102040/n02102040_1840.JPEG
n02102040_77.JPEG,English_springer,Imagenette val/n02102040/n02102040_1841.JPEG
n02102040_78.JPEG,English_springer,Imagenette val/n02102040/n02102040_1842.JPEG
n02102040_79.JPEG,English_springer,Imagenette val/n02102040/n02102040_1870.JPEG
n02102040_80.JPEG,English_springer,Imagenette val/n02102040/n02102040_1910.JPEG
n02102040_81.JPEG,English_springer,Imagenette val/n02102040/n02102040_1961.JPEG
n02102040_82.JPEG,English_springer,Imagenette val/n02102040/n02102040_1980.JPEG
n02102040_83.JPEG,English_springer,Imagenette val/n02102040/n02102040_2000.JPEG
n02102040_84.JPEG,English_springer,Imagenette val/n02102040/n02102040_201.JPEG
n02102040_85.JPEG,English_springer,Imagenette val/n02102040/n02102040_202.JPEG
n02102040_86.JPEG,English_springer,Imagenette val/n02102040/n02102040_2021.JPEG
n02102040_87.JPEG,English_springer,Imagenette val/n02102040/n02102040_2032.JPEG
n02102040_88.JPEG,English_springer,Imagenette val/n02102040/n02102040_2051.JPEG
n02102040_89.JPEG,English_springer,Imagenette val/n02102040/n02102040_2082.JPEG
n02102040_90.JPEG,English_springer,Imagenette val/n02102040/n02102040_2102.JPEG
n02102040_91.JPEG,English_springer,Imagenette val/n02102040/n02102040_2110.JPEG
n02102040_92.JPEG,English_springer,Imagenette val/n02102040/n02102040_2111.JPEG
n02102040_93.JPEG,English_springer,Imagenette val/n02102040/n02102040_2112.JPEG
n02102040_94.JPEG,English_springer,Imagenette val/n02102040/n02102040_2122.JPEG
n02102040_95.JPEG,English_springer,Imagenette val/n02102040/n02102040_2142.JPEG
n02102040_96.JPEG,English_springer,Imagenette val/n02102040/n02102040_2280.JPEG
n02102040_97.JPEG,English_springer,Imagenette val/n02102040/n02102040_2302.JPEG
n02102040_98.JPEG,English_springer,Imagenette val/n02102040/n02102040_2312.JPEG
n02102040_99.JPEG,English_springer,Imagenette val/n02102040/n02102040_2321.JPEG
n02102040_100.JPEG,English_springer,Imagenette val/n02102040/n02102040_2340.JPEG
n02979186_01.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00008651.JPEG
n02979186_02.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00020400.JPEG
n02979186_03.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00028911.JPEG
n02979186_04.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00035160.JPEG
n02979186_05.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00035482.JPEG
n02979186_06.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00035751.JPEG
n02979186_07.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00042482.JPEG
n02979186_08.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00042982.JPEG
n02979186_09.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00043121.JPEG
n02979186_10.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00043731.JPEG
n02979186_11.JPEG,cassette_player|tape_player,Imagenette val/n02979186/ILSVRC2012_val_00045110.JPEG
n02979186_12.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10041.JPEG
n02979186_13.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10111.JPEG
n02979186_14.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10151.JPEG
n02979186_15.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10200.JPEG
n02979186_16.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10211.JPEG
n02979186_17.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10230.JPEG
n02979186_18.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10232.JPEG
n02979186_19.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10250.JPEG
n02979186_20.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10271.JPEG
n02979186_21.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10341.JPEG
n02979186_22.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10402.JPEG
n02979186_23.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10532.JPEG
n02979186_24.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10591.JPEG
n02979186_25.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1061.JPEG
n02979186_26.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10612.JPEG
n02979186_27.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10670.JPEG
n02979186_28.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10691.JPEG
n02979186_29.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10751.JPEG
n02979186_30.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10870.JPEG
n02979186_31.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10912.JPEG
n02979186_32.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_10930.JPEG
n02979186_33.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11.JPEG
n02979186_34.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11000.JPEG
n02979186_35.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11052.JPEG
n02979186_36.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11120.JPEG
n02979186_37.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11122.JPEG
n02979186_38.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11151.JPEG
n02979186_39.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11372.JPEG
n02979186_40.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11410.JPEG
n02979186_41.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11481.JPEG
n02979186_42.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11550.JPEG
n02979186_43.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11670.JPEG
n02979186_44.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1171.JPEG
n02979186_45.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11782.JPEG
n02979186_46.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11790.JPEG
n02979186_47.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11861.JPEG
n02979186_48.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11871.JPEG
n02979186_49.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11881.JPEG
n02979186_50.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_11971.JPEG
n02979186_51.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1200.JPEG
n02979186_52.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12060.JPEG
n02979186_53.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12072.JPEG
n02979186_54.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12092.JPEG
n02979186_55.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12101.JPEG
n02979186_56.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12122.JPEG
n02979186_57.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12140.JPEG
n02979186_58.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12172.JPEG
n02979186_59.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12260.JPEG
n02979186_60.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12590.JPEG
n02979186_61.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12681.JPEG
n02979186_62.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1281.JPEG
n02979186_63.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12822.JPEG
n02979186_64.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_12962.JPEG
n02979186_65.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1300.JPEG
n02979186_66.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13061.JPEG
n02979186_67.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13231.JPEG
n02979186_68.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13250.JPEG
n02979186_69.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13280.JPEG
n02979186_70.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13281.JPEG
n02979186_71.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13442.JPEG
n02979186_72.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13502.JPEG
n02979186_73.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13510.JPEG
n02979186_74.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13572.JPEG
n02979186_75.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13661.JPEG
n02979186_76.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13701.JPEG
n02979186_77.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13722.JPEG
n02979186_78.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13740.JPEG
n02979186_79.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13742.JPEG
n02979186_80.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1381.JPEG
n02979186_81.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13841.JPEG
n02979186_82.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13851.JPEG
n02979186_83.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13902.JPEG
n02979186_84.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_13950.JPEG
n02979186_85.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_140.JPEG
n02979186_86.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1401.JPEG
n02979186_87.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14050.JPEG
n02979186_88.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14100.JPEG
n02979186_89.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14251.JPEG
n02979186_90.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14271.JPEG
n02979186_91.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14440.JPEG
n02979186_92.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14462.JPEG
n02979186_93.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14471.JPEG
n02979186_94.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_1450.JPEG
n02979186_95.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14550.JPEG
n02979186_96.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14601.JPEG
n02979186_97.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14630.JPEG
n02979186_98.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14712.JPEG
n02979186_99.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14721.JPEG
n02979186_100.JPEG,cassette_player|tape_player,Imagenette val/n02979186/n02979186_14771.JPEG
n03000684_01.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00004262.JPEG
n03000684_02.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00007460.JPEG
n03000684_03.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00011170.JPEG
n03000684_04.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00011951.JPEG
n03000684_05.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00017801.JPEG
n03000684_06.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00024480.JPEG
n03000684_07.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00025890.JPEG
n03000684_08.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00026061.JPEG
n03000684_09.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00029211.JPEG
n03000684_10.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00036092.JPEG
n03000684_11.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00045501.JPEG
n03000684_12.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00045940.JPEG
n03000684_13.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00046651.JPEG
n03000684_14.JPEG,chain_saw,Imagenette val/n03000684/ILSVRC2012_val_00047060.JPEG
